Over,Batter Runs,Cumulative Runs,Extra_Runs,Total_Runs,Bowler_ID,Striker_ID,Venue_ID,Team_ID
5.1,4,41,0,4,77,139,1,3
5.2,2,43,0,2,77,139,1,3
5.3,1,44,0,1,77,139,1,3
5.4,1,45,0,1,77,57,1,3
5.5,4,49,0,4,77,139,1,3
5.6,1,50,0,1,77,139,1,3
6.1,1,51,0,1,10,139,1,3
6.2,1,52,0,1,10,57,1,3
6.3,1,53,0,1,10,139,1,3
6.4,0,53,0,0,10,57,1,3
6.5,0,54,1,1,10,57,1,3
6.6,1,55,0,1,10,57,1,3
6.7,1,56,0,1,10,139,1,3
7.1,0,56,0,0,254,139,1,3
7.2,0,56,0,0,254,139,1,3
7.3,0,56,0,0,254,83,1,3
7.4,1,57,0,1,254,83,1,3
7.5,0,57,0,0,254,57,1,3
7.6,1,58,0,1,254,57,1,3
8.1,1,59,0,1,10,57,1,3
8.2,0,59,0,0,10,83,1,3
8.3,1,60,0,1,10,83,1,3
8.4,1,61,0,1,10,57,1,3
8.5,0,61,0,0,10,83,1,3
8.6,2,63,0,2,10,83,1,3
9.1,6,69,0,6,254,57,1,3
9.2,4,73,0,4,254,57,1,3
9.3,1,74,0,1,254,57,1,3
9.4,0,74,0,0,254,83,1,3
9.5,1,75,0,1,254,83,1,3
9.6,1,76,0,1,254,57,1,3
10.1,1,77,0,1,10,57,1,3
10.2,0,77,0,0,10,83,1,3
10.3,0,78,1,1,10,83,1,3
10.4,0,78,0,0,10,83,1,3
10.5,2,80,0,2,10,83,1,3
10.6,1,81,0,1,10,83,1,3
10.7,1,82,0,1,10,57,1,3
11.1,1,83,0,1,256,57,1,3
11.2,2,85,0,2,256,83,1,3
11.3,4,89,0,4,256,83,1,3
11.4,1,90,0,1,256,83,1,3
11.5,4,94,0,4,256,57,1,3
11.6,1,95,0,1,256,57,1,3
12.1,1,96,0,1,10,57,1,3
12.2,1,97,0,1,10,83,1,3
12.3,0,97,0,0,10,57,1,3
12.4,0,97,0,0,10,116,1,3
12.5,0,97,0,0,10,217,1,3
12.6,0,97,0,0,10,217,1,3
13.1,6,103,0,6,254,83,1,3
13.2,1,104,0,1,254,83,1,3
13.3,6,110,0,6,254,217,1,3
13.4,1,111,0,1,254,217,1,3
13.5,4,115,0,4,254,83,1,3
13.6,1,116,0,1,254,83,1,3
14.1,6,122,0,6,256,83,1,3
14.2,0,122,0,0,256,83,1,3
14.3,0,122,0,0,256,272,1,3
14.4,1,123,0,1,256,272,1,3
14.5,1,124,0,1,256,217,1,3
14.6,1,125,0,1,256,272,1,3
15.1,0,125,0,0,254,272,1,3
15.2,0,125,0,0,254,272,1,3
15.3,1,126,0,1,254,272,1,3
15.4,1,127,0,1,254,217,1,3
15.5,1,128,0,1,254,272,1,3
15.6,6,134,0,6,254,217,1,3
16.1,4,138,0,4,77,272,1,3
16.2,1,139,0,1,77,272,1,3
16.3,1,140,0,1,77,217,1,3
16.4,1,141,0,1,77,272,1,3
16.5,2,143,0,2,77,217,1,3
16.6,1,144,0,1,77,217,1,3
17.1,2,146,0,2,11,217,1,3
17.2,4,150,0,4,11,217,1,3
17.3,0,150,0,0,11,217,1,3
17.4,2,152,0,2,11,217,1,3
17.5,1,153,0,1,11,217,1,3
17.6,1,154,0,1,11,272,1,3
18.1,0,154,0,0,256,272,1,3
18.2,0,154,0,0,256,272,1,3
18.3,1,155,0,1,256,45,1,3
18.4,4,159,0,4,256,217,1,3
18.5,0,159,0,0,256,217,1,3
18.6,0,159,0,0,256,86,1,3
19.1,1,160,0,1,77,45,1,3
19.2,4,164,0,4,77,86,1,3
19.3,1,165,0,1,77,86,1,3
19.4,6,171,0,6,77,45,1,3
19.5,1,172,0,1,77,45,1,3
19.6,0,172,0,0,77,86,1,3
0.1,0,0,0,0,98,82,1,0
0.2,4,4,0,4,98,82,1,0
0.3,0,4,0,0,98,82,1,0
0.4,0,4,0,0,98,82,1,0
0.5,2,6,0,2,98,82,1,0
0.6,0,6,0,0,98,82,1,0
1.1,4,10,0,4,236,206,1,0
1.2,4,14,0,4,236,206,1,0
1.3,1,15,0,1,236,206,1,0
