Index,Over,Runs_on_that_bowl,Bowler_ID,Striker_ID,Venue_ID,Team_ID,Strike_Rate,Runs_on_previous_ball,Avg_Extra_Runs_Last_5,Avg_Extra_Runs_Last_4,Avg_Extra_Runs_Last_3,Avg_Total_Runs_Last_3,Avg_Total_Runs_Last_4,Avg_Total_Runs_Last_5
15237,1.2,1,251,22,2,1,2.272727273,4,0,0,0,1.67,2.25,2
15238,1.3,4,251,168,2,1,1.428571429,1,0,0,0,1.67,1.5,2
15239,1.4,1,251,168,2,1,1.428571429,4,0,0,0,3,2.25,2
15240,1.5,1,251,22,2,1,2.272727273,1,0,0,0,2,2.5,2
15241,1.6,0,251,168,2,1,1.428571429,1,0,0,0,2,1.75,2.2
15242,2.1,1,222,22,2,1,3.571428571,0,0,0,0,0.67,1.5,1.4
15243,2.2,1,222,168,2,1,0.333333333,1,0.2,0.25,0.33,0.67,0.75,1.4
15244,2.3,6,222,22,2,1,3.571428571,1,0.2,0.25,0.33,0.67,0.75,0.8
15245,2.4,6,222,22,2,1,3.571428571,6,0.2,0.25,0.33,2.67,2,1.8
15246,2.5,4,222,22,2,1,3.571428571,6,0.2,0.25,0,4.33,3.5,2.8
15247,2.6,4,222,22,2,1,3.571428571,4,0.2,0,0,5.33,4.25,3.6
15248,3.1,1,53,168,2,1,0.8,4,0,0,0,4.67,5,4.2
15249,3.2,0,53,22,2,1,1.333333333,1,0,0,0,3,3.75,4.2
15250,3.3,1,53,22,2,1,1.333333333,0,0,0,0,1.67,2.25,3
15251,3.4,2,53,168,2,1,0.8,1,0,0,0,0.67,1.5,2
15252,3.5,0,53,168,2,1,0.8,2,0,0,0,1,1,1.6
15253,3.6,1,53,168,2,1,0.8,0,0,0,0,1,0.75,0.8
15254,4.1,0,251,168,2,1,1.428571429,1,0,0,0,1,1,0.8
15255,4.2,1,251,48,2,1,1,0,0,0,0,0.33,0.75,0.8
15256,4.3,0,251,22,2,1,2.272727273,1,0,0,0,0.67,0.5,0.8
15257,4.4,4,251,22,2,1,2.272727273,0,0,0,0,0.33,0.5,0.4
15258,4.5,4,251,22,2,1,2.272727273,4,0,0,0,1.67,1.25,1.2
15259,4.6,4,251,22,2,1,2.272727273,4,0,0,0,2.67,2.25,1.8
15260,5.1,1,173,48,2,1,2,4,0,0,0,4,3,2.6
15261,5.2,6,173,48,2,1,2,1,0.2,0.25,0.33,3,3.25,2.6
15262,5.3,1,173,48,2,1,2,6,0.2,0.25,0.33,3.67,3.75,3.8
15263,5.4,4,173,22,2,1,2.285714286,1,0.2,0.25,0.33,2.67,3,3.2
15264,5.5,4,173,22,2,1,2.285714286,4,0.2,0.25,0,3.67,3,3.2
15265,5.6,6,173,22,2,1,2.285714286,4,0.2,0,0,3,3.75,3.2
15266,5.7,1,173,22,2,1,2.285714286,6,0,0,0,4.67,3.75,4.2
15267,6.1,1,191,22,2,1,0.75,1,0,0,0,3.67,3.75,3.2
15268,6.2,6,191,48,2,1,3.111111111,1,0,0,0,2.67,3,3.2
15269,6.3,1,191,48,2,1,3.111111111,6,0,0,0,2.67,3.5,3.6
15270,6.4,1,191,22,2,1,0.75,1,0,0,0,2.67,2.25,3
15271,6.5,6,191,48,2,1,3.111111111,1,0,0,0,2.67,2.25,2
15272,6.6,6,191,48,2,1,3.111111111,6,0,0,0,2.67,3.5,3
15273,7.1,1,173,22,2,1,2.285714286,6,0,0,0,4.33,3.5,4
